,City,Country,Clouds,Date,Humidity,Lat,Lng,Max Temp,Wind
42,Saquisili,EC,75,1553653893,76,-0.83,-78.67,55,8.05
44,Lunenburg,US,1,1553654144,39,42.59,-71.72,30.99,5.75
45,Northam,GB,0,1553654129,100,51.04,-4.21,42.8,4.7
46,Mount Gambier,AU,90,1553652000,67,-37.83,140.78,60.8,8.05
47,Atuona,PF,12,1553654057,100,-9.8,-139.03,82.57,13.69
48,Cabo San Lucas,MX,90,1553653556,36,22.89,-109.91,75.2,6.42
49,Saint-Philippe,CA,1,1553654019,53,45.36,-73.48,28.99,9.17
50,Havoysund,NO,0,1553651400,63,71,24.66,26.6,26.4
51,Busselton,AU,0,1553653989,36,-33.64,115.35,75.99,15.7
52,Cap-Haitien,HT,80,1553654173,100,19.76,-72.2,71.5,1.39
53,Ribeira Grande,PT,12,1553654032,99,38.52,-28.7,60.34,10.89
54,Hermanus,ZA,32,1553653939,81,-34.42,19.24,64.99,5.99
56,Pemba,MZ,44,1553654173,100,-12.97,40.52,79.78,10.67
57,Leningradskiy,RU,80,1553654042,87,69.38,178.42,31.27,19.28
58,Dikson,RU,76,1553654047,94,73.51,80.55,29.74,30.36
59,Skibotn,NO,90,1553654117,79,69.39,20.27,28.4,49.44
60,Kamenica,SI,64,1553654105,100,46,15.2,37,3.36
61,Yellowknife,CA,90,1553653847,79,62.45,-114.38,26.6,8.05
62,Aykhal,RU,88,1553654175,85,65.95,111.51,21.46,8.43
63,Jacareacanga,BR,0,1553654175,96,-6.22,-57.76,75.1,2.17
64,Bambous Virieux,MU,40,1553652000,88,-20.34,57.76,78.8,1.12
65,Moussoro,TD,0,1553654175,18,13.64,16.49,74.2,14.25
66,Gweta,BW,100,1553654175,32,-20.21,25.26,83.29,6.2
67,Mahanoro,MG,0,1553654176,91,-19.9,48.8,73.21,2.62
68,Baruun-Urt,MN,0,1553654176,42,46.68,113.28,29.2,11.34
69,Upernavik,GL,56,1553654033,100,72.79,-56.15,3.73,4.41
70,Dabrowa Tarnowska,PL,0,1553654170,86,50.17,20.99,34,1.99
71,Arman,RU,88,1553654176,59,59.7,150.17,17.86,7.76
72,Oranjestad,AW,20,1553652000,78,12.52,-70.03,78.8,18.34
73,Codajas,BR,0,1553654176,78,-3.84,-62.06,80.41,6.53
74,Hofn,IS,44,1553654176,92,64.25,-15.21,39.73,20.85
75,Iqaluit,CA,40,1553653921,69,63.75,-68.52,-7.01,11.41
76,Beihai,CN,40,1553652000,65,38.95,121.19,46.4,15.66
77,Tautira,PF,20,1553653942,66,-17.73,-149.15,87.8,10.29
78,Katsuura,JP,75,1553652275,62,33.93,134.5,64.4,5.82
79,Trinidad,UY,0,1553654177,77,-33.52,-56.9,59.53,9.78
80,Nadym,RU,88,1553654177,93,65.53,72.51,33.07,17.72
81,Tadine,NC,56,1553654178,93,-21.55,167.88,80.32,19.73
82,Oksfjord,NO,80,1553653830,58,70.24,22.35,26.6,19.46
83,Bredasdorp,ZA,80,1553653939,77,-34.53,20.04,66.2,12.75
84,Kavaratti,IN,0,1553654178,100,10.57,72.64,83.47,6.53
85,Avarua,CK,56,1553652000,79,-21.21,-159.78,84.2,4.7
86,Nara,JP,0,1553654011,36,34.68,135.8,63,8.05
87,Pisco,PE,0,1553652000,83,-13.71,-76.2,69.8,12.75
88,Butaritari,KI,48,1553654033,100,3.07,172.79,84.1,18.5
89,San Cristobal,EC,75,1553653893,87,-0.39,-78.55,60.8,4.7
90,Tiksi,RU,0,1553654179,63,71.64,128.87,3.37,4.18
91,Kruisfontein,ZA,32,1553654038,82,-34,24.73,58.81,10.67
92,Nikolskoye,RU,0,1553653913,79,59.7,30.79,25,8.95
94,Hilo,US,20,1553654062,57,19.71,-155.08,77,9.17
95,Walvis Bay,NA,24,1553652131,87,-22.95,14.51,61,6.93
96,Nagato,JP,40,1553653947,71,34.35,131.14,70,8.05
97,Saint-Joseph,FR,0,1553653939,52,43.56,6.97,51.01,5.82
99,La Peca,PE,32,1553654181,94,-5.61,-78.44,65.56,1.61
100,Khatanga,RU,92,1553654039,96,71.98,102.47,28.12,13.35
101,Mount Isa,AU,75,1553652000,69,-20.73,139.49,82.4,10.29
102,Georgetown,GY,0,1553652000,88,6.8,-58.16,73.4,4.7
103,Vaini,IN,20,1553652000,88,15.34,74.49,75.2,3.36
104,Omboue,GA,48,1553654182,100,-1.57,9.26,83.2,9.33
105,Kommunisticheskiy,RU,0,1553654182,75,61.68,64.48,31.27,9.78
106,San Ignacio,CL,0,1553652000,67,-36.8,-72.03,59,2.24
107,Rome,IT,75,1553654109,61,41.89,12.48,55,6.93
108,Talara,PE,0,1553654182,75,-4.58,-81.27,73.75,5.08
109,Conde,BR,80,1553654000,90,-11.81,-37.61,80.32,5.97
110,Natal,BR,40,1553652000,83,-5.81,-35.21,78.8,5.82
111,Ucluelet,CA,75,1553653833,87,48.94,-125.55,50,9.17
112,Cururupu,BR,44,1553654183,97,-1.82,-44.87,75.1,2.84
113,Alofi,NU,90,1553652000,83,-19.06,-169.92,80.6,12.75
114,Cuajinicuilapa,MX,0,1553654183,94,16.47,-98.41,80.23,10.11
115,Faanui,PF,12,1553654079,100,-16.48,-151.75,84.82,5.97
116,Sisimiut,GL,44,1553653990,80,66.94,-53.67,2.92,3.18
117,New Norfolk,AU,0,1553653996,30,-42.78,147.06,70,8.05
118,Quang Ngai,VN,76,1553653920,68,15.12,108.8,79.78,3.29
119,Albany,US,1,1553653997,37,42.65,-73.75,32,6.93
120,Calvinia,ZA,32,1553654183,65,-31.47,19.78,47.47,2.39
121,Pervomayskoye,RU,0,1553654184,71,57.07,86.23,21.1,5.86
122,Burgthann,DE,75,1553654043,93,49.36,11.32,41,8.1
125,Muisne,EC,36,1553654184,99,0.61,-80.02,70.87,3.18
126,Tomigusuku,JP,20,1553653946,56,26.18,127.67,73,13.87
127,Luwuk,ID,68,1553654185,85,-0.95,122.79,84.46,1.5
129,Roebourne,AU,32,1553654185,100,-20.77,117.15,84.37,6.53
130,Chuy,UY,100,1553654077,96,-33.69,-53.46,64.21,10.89
131,Tessalit,ML,56,1553654060,28,20.2,1.01,79.15,8.88
132,Port Elizabeth,US,1,1553654045,68,39.31,-74.98,41,3.36
133,College,US,90,1553653941,61,64.86,-147.8,46.4,5.3
134,Cidreira,BR,76,1553654046,88,-30.17,-50.22,66.1,5.19
135,Kapaa,US,90,1553654010,88,22.08,-159.32,77,5.82
136,Ancud,CL,0,1553652000,76,-41.87,-73.83,51.8,5.82
138,Kisangani,CD,68,1553654186,100,0.52,25.21,70.69,2.95
139,Esperance,TT,20,1553653908,83,10.24,-61.45,78.01,4.7
140,Topchanchi,IN,0,1553654186,68,23.9,86.2,74.65,4.41
141,Pentecoste,BR,56,1553653690,87,-3.8,-39.27,80.01,3.18
142,San Quintin,PH,0,1553654186,40,17.54,120.52,86.8,3.85
143,Mezen,RU,56,1553654187,89,65.85,44.24,21.55,3.74
144,Arraial do Cabo,BR,24,1553653773,98,-22.97,-42.02,76.63,4.74
145,Tasiilaq,GL,64,1553651400,45,65.61,-37.64,24.8,13.87
146,Vao,EE,0,1553654042,89,59.1,26.19,21.82,6.98
147,Morondava,MG,0,1553654187,100,-20.3,44.28,75.1,3.74
148,Labuhan,ID,68,1553654083,75,-2.54,115.51,83.74,3.18
149,Tura,IN,0,1553654164,88,25.52,90.21,70.15,2.62
150,Dudinka,RU,80,1553654155,95,69.41,86.18,28.3,27.11
151,Saint-Georges,CA,0,1553653899,63,46.12,-70.67,18,1.99
152,Takahagi,JP,20,1553654094,27,36.74,140.69,68,10.29
153,Kaitangata,NZ,32,1553653909,47,-46.28,169.85,60.01,24
155,Puerto Baquerizo Moreno,EC,12,1553654188,100,-0.9,-89.6,79.42,9.1
156,Adrar,DZ,40,1553652000,87,27.87,-0.29,60.8,11.41
157,Amahai,ID,12,1553654189,97,-3.31,129,85.72,4.07
158,Ponta do Sol,BR,56,1553654189,84,-20.63,-46,67.45,2.51
159,Mlowo,TZ,88,1553654190,98,-9.01,33,60.88,2.62
160,Salalah,OM,75,1553651400,83,17.01,54.1,77,3.51
161,Doha,QA,0,1553652000,68,25.29,51.53,68,12.75
162,Mogadishu,SO,12,1553654190,96,2.04,45.34,83.38,15.82
163,Mersing,MY,44,1553653892,71,2.43,103.84,86.98,9.55
164,Pokhara,NP,0,1553653988,57,28.21,83.99,54.13,2.62
165,Sao Filipe,CV,48,1553654190,100,14.9,-24.5,68.89,11.12
166,Jiuquan,CN,8,1553654190,68,39.73,98.49,38.83,8.99
167,Japura,ID,92,1553654190,96,-0.42,102.29,75.82,2.84
168,Zhigansk,RU,0,1553654191,53,66.77,123.37,7.24,6.42
169,Touros,BR,40,1553652000,94,-5.2,-35.46,77,4.7
170,Bogacs,HU,8,1553653925,23,47.9,20.53,44.01,7
171,Benjamin Aceval,PY,0,1553652000,60,-24.97,-57.57,69.8,11.41
172,Taos,US,1,1553653903,25,36.41,-105.57,53.6,6.93
173,Atar,MR,0,1553654192,70,20.52,-13.05,50.8,2.39
174,Torbay,CA,90,1553653943,73,47.66,-52.73,25,8.05
175,Dubbo,AU,0,1553652000,41,-32.25,148.6,77,17.22
176,Lompoc,US,1,1553654154,77,34.64,-120.46,59,8.05
177,Qaanaaq,GL,48,1553654040,73,77.48,-69.36,-11.84,12.35
179,Coihaique,CL,0,1553652000,76,-45.58,-72.07,50,5.82
180,Delta,US,20,1553654133,59,41.57,-84.01,36,9.17
182,Berdigestyakh,RU,0,1553654193,60,62.1,126.7,9.85,6.2
183,Sorland,NO,32,1553654193,93,67.67,12.69,41.08,26.78
184,Tuktoyaktuk,CA,90,1553653500,92,69.44,-133.03,19.4,12.75
186,Zykovo,RU,20,1553654013,80,55.24,40.35,30,2.95
187,Ola,RU,76,1553654193,100,59.58,151.3,20.2,10.22
188,Quatre Cocos,MU,40,1553652000,88,-20.21,57.76,78.8,1.12
189,Valle del Guamuez,CO,20,1553654194,91,0.45,-76.92,70.69,2.17
190,Calama,CL,0,1553652000,26,-22.46,-68.93,57.2,5.82
191,Beidao,CN,88,1553654194,81,34.57,105.89,45.58,4.18
192,Dingle,PH,68,1553654074,73,11,122.67,82.93,13.02
193,Te Anau,NZ,8,1553654194,64,-45.41,167.72,52.33,11.01
194,Ulladulla,AU,75,1553654158,56,-35.36,150.48,70,5.82
195,Ilulissat,GL,76,1553651400,71,69.22,-51.1,8.6,8.05
196,Bilma,NE,0,1553654195,21,18.69,12.92,60.25,6.98
198,Mehamn,NO,44,1553653806,84,71.03,27.85,20.2,6.53
199,Nikolayevsk-na-amure,RU,64,1553654195,75,53.14,140.72,20.83,11.68
200,Hamilton,BM,75,1553653121,88,32.3,-64.78,68,14.99
201,Mustvee,EE,0,1553654153,85,58.85,26.93,25,6.93
202,Bathsheba,BB,20,1553652000,69,13.22,-59.52,78.8,19.46
203,Geraldton,CA,75,1553652000,46,49.72,-86.95,30.2,11.41
204,Semirom,IR,0,1553654196,72,31.41,51.57,21.82,3.74
205,Ryotsu,JP,75,1553652000,46,38.08,138.43,50,9.17
206,Hobart,AU,0,1553653936,30,-42.88,147.33,70,8.05
207,San Andres,PH,32,1553654196,95,13.32,122.68,82.12,17.27
208,Puri,ID,20,1553652000,83,-7.54,112.45,84.2,3.36
210,Deputatskiy,RU,0,1553654197,82,69.3,139.9,4.36,3.96
212,Bathurst,AU,0,1553653887,51,-33.42,149.58,73.99,1.01
213,Saint-Ambroise,FR,0,1553653932,75,47.25,-0.65,41,5.82
214,Esfarayen,IR,90,1553652000,86,37.08,57.51,41,9.17
216,Tooele,US,1,1553653917,76,40.53,-112.3,60.8,5.82
217,La Rioja,AR,92,1553654051,96,-29.41,-66.86,58.45,3.96
218,Kodiak,US,1,1553654025,66,39.95,-94.76,54,9.17
219,Nantucket,US,1,1553654106,58,41.28,-70.1,35.01,9.17
220,Sabak,MY,75,1553652000,74,3.77,100.99,86,3.36
222,Nishihara,JP,20,1553654024,36,35.74,139.53,64.99,13.87
223,Warrington,GB,75,1553654167,70,53.39,-2.59,48.99,10.29
224,Ostrovnoy,RU,0,1553654076,81,68.05,39.51,17.23,13.35
225,Klaksvik,FO,64,1553651400,70,62.23,-6.59,44.6,8.05
226,Acajutla,SV,0,1553653567,58,13.59,-89.83,77,5.99
227,Yar-Sale,RU,80,1553654082,94,66.83,70.83,32.71,19.62
228,Muriwai Beach,NZ,92,1553654120,73,-36.82,174.45,75.99,17.22
230,Pokrovsk,UA,92,1553654199,96,48.28,37.18,41.35,2.95
231,Lazarev,RU,44,1553654199,76,52.23,141.51,22.9,12.12
232,Lagoa,PT,20,1553653936,55,37.14,-8.45,60.8,25.28
233,Busayra,JO,0,1553654199,82,30.74,35.61,39.37,2.39
234,Mookane,BW,36,1553654199,73,-23.68,26.66,70.96,15.59
235,Provideniya,RU,75,1553652000,86,64.42,-173.23,33.8,33.55
236,Shakawe,BW,0,1553654200,56,-18.36,21.84,66.55,2.95
237,Tuatapere,NZ,48,1553653808,60,-46.13,167.69,57.99,18.01
238,Buala,SB,88,1553654200,87,-8.15,159.59,84.37,7.87
239,Kiama,AU,75,1553653926,56,-34.67,150.86,72,5.82
241,Lander,US,1,1553653911,22,42.83,-108.73,53.6,9.17
243,Ishigaki,JP,20,1553652000,61,24.34,124.16,77,9.17
244,Ekibastuz,KZ,88,1553654201,96,51.72,75.32,32.71,10.78
246,Healdsburg,US,90,1553654152,54,38.61,-122.87,59,9.17
247,Soyo,AO,20,1553654201,96,-6.13,12.37,74.2,2.95
248,Waingapu,ID,48,1553654202,88,-9.65,120.26,82.93,3.62
249,Namibe,AO,44,1553654202,100,-15.19,12.15,76.54,4.85
250,Pangnirtung,CA,36,1553654076,67,66.15,-65.72,-5.36,4.74
251,Martapura,ID,20,1553652000,83,-3.41,114.85,82.4,8.05
252,Brigantine,US,1,1553654192,55,39.41,-74.36,39.99,10.22
253,Colares,PT,0,1553654144,67,38.8,-9.45,63,5.82
254,Lardos,GR,20,1553654164,82,36.09,28.02,61,10.78
255,Sao Gabriel,BR,8,1553654203,77,-30.34,-54.32,62.95,9.44
256,Inhambane,MZ,20,1553654203,86,-23.87,35.38,77.98,15.26
257,Ust-Barguzin,RU,8,1553654203,67,53.41,109.03,19.39,2.95
258,Sabinas,MX,92,1553654203,96,27.85,-101.13,61.96,6.08
259,Tiarei,PF,20,1553653942,66,-17.53,-149.33,87.8,10.29
260,Maldonado,UY,40,1553652000,77,-34.91,-54.96,60.8,4.7
261,Carnarvon,ZA,44,1553654026,64,-30.97,22.13,49.81,3.4
262,Srednekolymsk,RU,80,1553654203,56,67.46,153.71,5.98,12.35
263,Novobirilyussy,RU,0,1553654204,79,56.95,90.69,26.5,6.2
264,Carutapera,BR,80,1553654204,96,-1.2,-46.02,77.08,4.74
265,Henties Bay,NA,48,1553652131,94,-22.12,14.28,61,4
266,Pacific Grove,US,90,1553654121,77,36.62,-121.92,63,4.41
267,Donskoye,RU,0,1553652000,80,45.45,41.98,30.2,4.47
268,Izhma,RU,76,1553654205,86,65.01,53.91,30.37,5.08
269,Komsomolskiy,RU,80,1553654052,95,67.55,63.78,28.93,16.71
270,Lorengau,PG,64,1553654046,100,-2.02,147.27,82.12,9.33
271,Dargaville,NZ,92,1553654205,54,-35.94,173.86,75.37,15.93
272,Chokurdakh,RU,20,1553654048,74,70.62,147.9,0.13,17.49
273,Aklavik,CA,75,1553652000,64,68.22,-135.01,37.4,4.52
274,Ranong,TH,20,1553652000,66,9.96,98.62,87.8,8.05
275,Constantine,DZ,75,1553652000,93,36.36,6.61,41,5.82
277,Ajdabiya,LY,0,1553654206,70,30.75,20.22,44.23,3.18
279,Ahipara,NZ,92,1553654206,71,-35.17,173.16,72.58,16.71
280,Prigor,RO,0,1553648400,59,44.93,22.11,33.8,5.82
282,Saint George,GR,75,1553651400,71,39.45,22.34,53.6,6.93
283,Lavrentiya,RU,88,1553654207,95,65.58,-170.99,32.98,31.25
284,Terre Haute,US,1,1553654168,64,39.47,-87.41,41,3.36
285,Boa Vista,BR,0,1553652000,51,2.82,-60.67,86,16.11
286,Kaeo,NZ,100,1553653984,74,-35.1,173.78,73,8.99
287,Onega,RU,8,1553654208,77,63.91,38.09,17.5,7.09
289,Sur,OM,88,1553654056,87,22.57,59.53,74.65,4.07
290,Chelno-Vershiny,RU,48,1553654208,94,54.42,51.08,32.8,10
292,Taksimo,RU,68,1553654209,45,56.36,114.84,18.67,4.63
293,East London,ZA,56,1553653904,100,-33.02,27.91,69.25,10
294,Codrington,AU,90,1553653947,88,-28.95,153.24,69.8,10.29
295,Maningrida,AU,88,1553654210,100,-12.05,134.23,81.22,6.31
296,Nerchinskiy Zavod,RU,8,1553654210,38,51.31,119.61,21.28,5.53
297,Longyearbyen,NO,40,1553651400,73,78.22,15.63,21.2,12.75
298,Sun Valley,US,40,1553653892,65,43.7,-114.35,41,1.72
299,Caravelas,BR,8,1553654211,100,-17.73,-39.27,82.03,10.78
300,Egvekinot,RU,76,1553654022,87,66.32,-179.17,27.13,15.26
302,Goundam,ML,68,1553654211,47,16.42,-3.66,82.03,6.76
303,Naantali,FI,0,1553654187,92,60.45,22.03,27,2.24
304,Kalashnikovo,RU,0,1553654211,77,57.28,35.23,17.23,10
305,Llanes,ES,0,1553654194,78,43.42,-4.75,53.01,2.51
306,Krasnovishersk,RU,0,1553654212,95,60.4,57.08,27.85,10.56
307,Esso,RU,36,1553654212,77,55.93,158.7,15.7,3.62
308,Kudahuvadhoo,MV,0,1553654212,100,2.67,72.89,84.55,10.56
309,Vredendal,ZA,8,1553654212,74,-31.68,18.49,55.39,2.28
310,Smithers,CA,75,1553652000,60,54.78,-127.17,42.8,4.7
311,Norman Wells,CA,20,1553652000,59,65.28,-126.83,37.4,6.93
312,Souillac,FR,0,1553653989,70,45.6,-0.6,44.01,4.7
314,Rotifunk,SL,8,1553654214,75,8.23,-12.68,77.35,4.63
315,Klyuchi,RU,64,1553654214,68,52.25,79.17,36.58,8.77
316,Hambantota,LK,5,1553652600,88,6.12,81.12,78.8,3.36
318,Diffa,NE,0,1553654214,27,13.32,12.61,71.32,9.78
319,Kirksville,US,1,1553652900,52,40.19,-92.58,44.6,5.82
320,Zaragoza,ES,0,1553653939,56,41.65,-0.88,46,9.17
321,Wladyslawowo,PL,0,1553654059,92,54.79,18.4,34,3.36
322,Mango,IT,0,1553654166,41,44.69,8.15,46,3.36
323,Hasaki,JP,0,1553652151,25,35.73,140.83,63,12.75
324,Liwale,TZ,92,1553654216,96,-9.8,37.92,72.94,1.95
325,Bogovarovo,RU,92,1553654217,95,58.98,47.02,30.1,5.19
326,Ambanja,MG,8,1553654217,93,-13.68,48.45,69.07,2.95
327,Ginda,IN,0,1553652000,77,30.69,78.49,60.8,3.36
328,Narsaq,GL,36,1553651400,72,60.91,-46.05,17.6,21.92
329,Ballina,IE,76,1553653983,86,54.11,-9.15,48.99,3
331,Russell,AR,90,1553648400,71,-33.01,-68.8,57.2,5.82
332,Lacombe,CA,90,1553652600,99,52.47,-113.73,33.8,8.05
334,Talcahuano,CL,90,1553652000,93,-36.72,-73.12,53.6,8.05
335,Maryville,US,1,1553654091,40,40.35,-94.87,54,11.41
336,Cayenne,GF,0,1553652000,74,4.94,-52.33,78.8,4.7
338,Lata,IN,0,1553654219,67,30.78,78.62,49.9,2.17
339,San Vicente,SV,20,1553654103,69,13.64,-88.78,82.4,5.82
340,Bilibino,RU,80,1553654220,80,68.06,166.44,20.02,5.08
341,Felanitx,ES,0,1553654165,70,39.47,3.15,55,6.93
342,Araouane,ML,92,1553654221,20,18.9,-3.53,89.32,7.65
343,Husavik,CA,36,1553653830,94,50.56,-96.99,36,8.01
344,Acari,BR,80,1553654221,97,-6.44,-36.64,69.79,1.95
346,Aitape,PG,8,1553654221,86,-3.15,142.36,84.28,9.22
347,Cartagena,ES,0,1553654134,54,37.63,-1,57.2,13.87
348,Irbeyskoye,RU,0,1553654222,90,55.64,95.45,29.83,4.74
349,Asyut,EG,0,1553648400,61,27.18,31.19,53.6,8.05
351,Basco,US,1,1553654057,38,40.33,-91.2,45,4.7
352,Bhadrachalam,IN,0,1553654222,83,17.67,80.89,78.25,4.41
353,San Joaquin,PH,68,1553654222,73,10.59,122.14,82.93,13.02
355,Oktyabrskoye,RU,0,1553654124,63,56.73,85.44,30,2.24
356,High Level,CA,75,1553652000,60,58.52,-117.13,41,6.93
357,Tevaitoa,PF,36,1553654223,100,-16.78,-151.5,83.38,3.62
358,Turukhansk,RU,0,1553654223,86,65.8,87.96,23.53,19.17
359,Palmas de Monte Alto,BR,88,1553654223,90,-14.26,-43.16,71.86,3.18
360,Awbari,LY,0,1553654078,50,26.59,12.77,50.98,5.19
361,Bay Roberts,CA,90,1553653943,73,47.58,-53.28,25,8.05
362,Collipulli,CL,0,1553654224,49,-37.96,-72.44,57.37,5.41
363,Ponta Delgada,PT,20,1553654181,67,37.73,-25.67,57.2,14.99
364,Qaqortoq,GL,56,1553651400,72,60.72,-46.03,17.6,21.92
365,Rocha,UY,48,1553654060,78,-34.48,-54.34,60.25,7.87
366,Rawson,AR,0,1553654224,49,-43.3,-65.11,60.43,15.48
367,Shelburne,CA,1,1553654164,62,44.08,-80.2,32,2.95
368,Mbala,ZM,48,1553654225,94,-8.85,31.37,60.43,3.06
369,Samfya,ZM,68,1553654225,97,-11.37,29.56,66.37,6.2
370,Toamasina,MG,20,1553652000,94,-18.17,49.38,75.2,2.06
371,Isangel,VU,40,1553652000,66,-19.55,169.27,87.8,9.17
372,Flinders,AU,75,1553654045,56,-34.58,150.85,73,5.82
373,Maple Creek,CA,88,1553654226,64,49.91,-109.46,43.6,8.66
374,Oyama,JP,40,1553654094,9,36.31,139.8,69.01,14.99
375,Port-Cartier,CA,5,1553653918,46,50.03,-66.88,12.99,9.17
376,Sangin,AF,12,1553654226,84,32.07,64.85,60.25,3.62
377,Redmond,US,1,1553654164,43,47.67,-122.12,55.4,8.05
378,Poum,MK,88,1553654227,83,41.28,20.71,33.79,1.72
379,Whitehorse,CA,40,1553652000,41,60.72,-135.06,42.8,4.7
380,Ilinskiy,RU,0,1553652591,86,55.62,38.12,28.4,4.47
381,Wenling,CN,12,1553654053,88,28.38,121.38,63,1.01
382,Huallanca,PE,92,1553654227,100,-9.9,-76.94,44.05,3.18
383,Ojinaga,US,1,1553653941,41,29.56,-104.41,77,19.46
384,Buta,CD,80,1553654228,94,2.79,24.73,70.42,2.39
385,Jadu,LY,92,1553654228,61,31.95,12.03,52.87,4.74
386,Balaipungut,ID,44,1553654228,96,1.11,101.31,81.31,2.73
387,Necochea,AR,0,1553653907,83,-38.55,-58.74,53.01,5.53
388,Gat,SN,0,1553652000,88,14.69,-16.54,66.2,13.87
389,Miri,NG,0,1553654228,42,10.31,9.75,63.58,5.19
391,Beberibe,BR,40,1553652277,94,-4.18,-38.13,81,2.95
392,Maanshan,CN,92,1553654121,55,31.7,118.5,75.99,2.24
393,Sinjar,SY,76,1553654229,91,35.59,37,45.4,7.65
394,Mahina,ML,0,1553654229,48,13.76,-10.85,78.07,8.77
395,Alexandria,US,1,1553653962,54,31.31,-92.44,57.99,4.7
396,Inirida,CO,0,1553654229,91,3.87,-67.92,75.28,1.95
398,Savelugu,GH,56,1553654230,94,9.63,-0.83,72.58,5.64
399,Akdepe,TM,90,1553652000,93,42.05,59.39,46.4,6.76
400,Airai,TL,32,1553654081,84,-8.93,125.41,80.5,1.95
401,Tanete,ID,20,1553654230,75,-3.94,119.78,88.33,2.73
402,Damaturu,NG,0,1553654230,29,11.75,11.96,69.34,8.99
403,Haines Junction,CA,0,1553654230,52,60.75,-137.51,33.07,1.95
405,Ternate,PH,75,1553653992,54,14.29,120.72,87.01,9.17
406,Corrientes,AR,8,1553652000,77,-27.47,-58.83,66.2,9.17
407,Naze,NG,64,1553654071,91,5.43,7.07,75.37,6.31
408,Victoria,BN,75,1553652000,74,5.28,115.24,87.8,6.93
409,Vila Velha,BR,40,1553653690,94,-3.71,-38.6,81,6.42
410,Novaya Igirma,RU,36,1553654231,70,57.14,103.93,26.59,4.29
411,Kieta,PG,36,1553654231,100,-6.22,155.63,81.4,2.28
412,Dunedin,NZ,0,1553653801,65,-45.87,170.5,60.01,17
413,Montepuez,MZ,88,1553654233,97,-13.13,39,66.64,6.42
414,Olkhovatka,UA,92,1553654233,95,48.24,38.4,41.71,4.63
415,Cherskiy,RU,80,1553654233,73,68.75,161.3,11.56,14.25
416,Siraha,NP,0,1553654233,58,26.66,86.21,74.2,4.97
418,Zalantun,CN,0,1553654233,36,48,122.72,33.97,4.74
419,Saskylakh,RU,80,1553654053,87,71.97,114.09,22.18,6.53
420,Farafenni,GM,0,1553654235,48,13.57,-15.6,68.98,8.21
421,Sao Joao Batista,BR,24,1553654235,88,-3.13,-58.38,78.7,6.08
422,Simao,CN,8,1553654235,54,22.76,100.79,77.53,2.84
423,Muli,IN,0,1553654235,30,22.62,71.45,80.68,3.18
424,Meulaboh,ID,56,1553654235,100,4.14,96.13,81.04,2.62
